what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1300522868477
started,bundle,org.eclipse.osgi,3.7.0.v20110124-0830,"org.eclipse.osgi",1300522868484
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100920,"org.eclipse.equinox.simpleconfigurator",1300522868506
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1300522868507
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201101311025,"org.eclipse.cdt.codan.checkers",1300522868508
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201101311025,"org.eclipse.cdt.codan.core",1300522868529
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201101311025,"org.eclipse.cdt.codan.core.cxx",1300522868558
started,bundle,org.eclipse.cdt.codan.ui.cxx,1.0.0.201101311025,"org.eclipse.cdt.codan.ui.cxx",1300522868559
started,bundle,org.eclipse.cdt.core,5.3.0.201101311025,"org.eclipse.cdt.core",1300522868563
started,bundle,org.eclipse.cdt.make.core,7.1.0.201101311025,"org.eclipse.cdt.make.core",1300522868565
started,bundle,org.eclipse.cdt.make.ui,7.1.0.201101311025,"org.eclipse.cdt.make.ui",1300522868610
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.0.201101311025,"org.eclipse.cdt.managedbuilder.core",1300522868611
started,bundle,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui",1300522868614
started,bundle,org.eclipse.core.contenttype,3.4.100.v20101203-1034,"org.eclipse.core.contenttype",1300522868624
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100824-0800,"org.eclipse.core.databinding.observable",1300522868639
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1300522868653
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110124-0100,"org.eclipse.core.filebuffers",1300522868672
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110117,"org.eclipse.core.filesystem",1300522868676
started,bundle,org.eclipse.core.jobs,3.5.100.v20101008,"org.eclipse.core.jobs",1300522868721
started,bundle,org.eclipse.core.net,1.2.100.I20110118-0800,"org.eclipse.core.net",1300522868724
