what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136116477
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1301136122763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136123120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136123692
activated,editor,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui.editor.CEditor",1301136125907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136131968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136133534
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1301136140086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136140276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136150792
activated,editor,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui.editor.CEditor",1301136152432
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110124-0100,"org.eclipse.ui.edit.text.shiftLeft",1301136267300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136283795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136285411
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1301136291854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136292255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136296391
activated,editor,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui.editor.CEditor",1301136299779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136314505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136315957
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1301136322255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136322678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136326831
activated,editor,org.eclipse.cdt.ui,5.3.0.201101311025,"org.eclipse.cdt.ui.editor.CEditor",1301136332343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1301136375575
